pf, N, m, T, sigma, cut, g_sigma, error, RDF_PY, RDF_CS, RDF_LJ
1.000e-01, 1.000e+03, 1.000e+00, 1.000e+00, 1.000e+00, 4.500e+00, 6.529e-04, 3.712e-04, 1.296e+00, 1.303e+00, 1.286e+00
2.000e-01, 1.000e+03, 1.000e+00, 1.000e+00, 1.000e+00, 4.500e+00, 3.264e-04, 1.856e-04, 1.719e+00, 1.758e+00, 1.522e+00
3.000e-01, 1.000e+03, 1.000e+00, 1.000e+00, 1.000e+00, 4.500e+00, 2.902e-04, 1.422e-04, 2.347e+00, 2.478e+00, 1.872e+00
4.000e-01, 1.000e+03, 1.000e+00, 1.000e+00, 1.000e+00, 4.500e+00, 4.897e-04, 1.557e-04, 3.333e+00, 3.704e+00, 2.424e+00
5.000e-01, 1.000e+03, 1.000e+00, 1.000e+00, 1.000e+00, 4.500e+00, 7.835e-04, 2.076e-04, 5.000e+00, 6.000e+00, 3.361e+00
1.000e-01, 1.000e+03, 1.000e+00, 1.500e+00, 1.000e+00, 4.500e+00, 1.741e-03, 5.904e-04, 1.296e+00, 1.303e+00, 1.286e+00
2.000e-01, 1.000e+03, 1.000e+00, 1.500e+00, 1.000e+00, 4.500e+00, 2.720e-03, 5.190e-04, 1.719e+00, 1.758e+00, 1.522e+00
3.000e-01, 1.000e+03, 1.000e+00, 1.500e+00, 1.000e+00, 4.500e+00, 3.410e-03, 5.277e-04, 2.347e+00, 2.478e+00, 1.872e+00
4.000e-01, 1.000e+03, 1.000e+00, 1.500e+00, 1.000e+00, 4.500e+00, 5.713e-03, 5.568e-04, 3.333e+00, 3.704e+00, 2.424e+00
5.000e-01, 1.000e+03, 1.000e+00, 1.500e+00, 1.000e+00, 4.500e+00, 1.306e-02, 7.125e-04, 5.000e+00, 6.000e+00, 3.361e+00
1.000e-01, 1.000e+03, 1.000e+00, 2.000e+00, 1.000e+00, 4.500e+00, 9.793e-03, 1.488e-03, 1.296e+00, 1.303e+00, 1.286e+00
2.000e-01, 1.000e+03, 1.000e+00, 2.000e+00, 1.000e+00, 4.500e+00, 1.251e-02, 1.206e-03, 1.719e+00, 1.758e+00, 1.522e+00
3.000e-01, 1.000e+03, 1.000e+00, 2.000e+00, 1.000e+00, 4.500e+00, 1.618e-02, 1.123e-03, 2.347e+00, 2.478e+00, 1.872e+00
4.000e-01, 1.000e+03, 1.000e+00, 2.000e+00, 1.000e+00, 4.500e+00, 2.639e-02, 1.277e-03, 3.333e+00, 3.704e+00, 2.424e+00
5.000e-01, 1.000e+03, 1.000e+00, 2.000e+00, 1.000e+00, 4.500e+00, 5.136e-02, 1.329e-03, 5.000e+00, 6.000e+00, 3.361e+00
1.000e-01, 1.000e+03, 1.000e+00, 2.500e+00, 1.000e+00, 4.500e+00, 2.046e-02, 2.014e-03, 1.296e+00, 1.303e+00, 1.286e+00
2.000e-01, 1.000e+03, 1.000e+00, 2.500e+00, 1.000e+00, 4.500e+00, 2.481e-02, 1.672e-03, 1.719e+00, 1.758e+00, 1.522e+00
3.000e-01, 1.000e+03, 1.000e+00, 2.500e+00, 1.000e+00, 4.500e+00, 3.714e-02, 1.705e-03, 2.347e+00, 2.478e+00, 1.872e+00
4.000e-01, 1.000e+03, 1.000e+00, 2.500e+00, 1.000e+00, 4.500e+00, 5.484e-02, 1.713e-03, 3.333e+00, 3.704e+00, 2.424e+00
5.000e-01, 1.000e+03, 1.000e+00, 2.500e+00, 1.000e+00, 4.500e+00, 1.113e-01, 2.112e-03, 5.000e+00, 6.000e+00, 3.361e+00
1.000e-01, 1.000e+03, 1.000e+00, 3.000e+00, 1.000e+00, 4.500e+00, 4.048e-02, 2.666e-03, 1.296e+00, 1.303e+00, 1.286e+00
2.000e-01, 1.000e+03, 1.000e+00, 3.000e+00, 1.000e+00, 4.500e+00, 4.864e-02, 2.376e-03, 1.719e+00, 1.758e+00, 1.522e+00
3.000e-01, 1.000e+03, 1.000e+00, 3.000e+00, 1.000e+00, 4.500e+00, 6.514e-02, 2.395e-03, 2.347e+00, 2.478e+00, 1.872e+00
4.000e-01, 1.000e+03, 1.000e+00, 3.000e+00, 1.000e+00, 4.500e+00, 1.073e-01, 2.353e-03, 3.333e+00, 3.704e+00, 2.424e+00
5.000e-01, 1.000e+03, 1.000e+00, 3.000e+00, 1.000e+00, 4.500e+00, 1.892e-01, 2.954e-03, 5.000e+00, 6.000e+00, 3.361e+00
1.000e-01, 1.000e+03, 1.000e+00, 3.500e+00, 1.000e+00, 4.500e+00, 6.485e-02, 3.769e-03, 1.296e+00, 1.303e+00, 1.286e+00
2.000e-01, 1.000e+03, 1.000e+00, 3.500e+00, 1.000e+00, 4.500e+00, 7.476e-02, 2.564e-03, 1.719e+00, 1.758e+00, 1.522e+00
3.000e-01, 1.000e+03, 1.000e+00, 3.500e+00, 1.000e+00, 4.500e+00, 1.016e-01, 2.400e-03, 2.347e+00, 2.478e+00, 1.872e+00
4.000e-01, 1.000e+03, 1.000e+00, 3.500e+00, 1.000e+00, 4.500e+00, 1.621e-01, 2.685e-03, 3.333e+00, 3.704e+00, 2.424e+00
5.000e-01, 1.000e+03, 1.000e+00, 3.500e+00, 1.000e+00, 4.500e+00, 2.768e-01, 3.396e-03, 5.000e+00, 6.000e+00, 3.361e+00
1.000e-01, 1.000e+03, 1.000e+00, 4.000e+00, 1.000e+00, 4.500e+00, 8.770e-02, 3.874e-03, 1.296e+00, 1.303e+00, 1.286e+00
2.000e-01, 1.000e+03, 1.000e+00, 4.000e+00, 1.000e+00, 4.500e+00, 1.034e-01, 3.408e-03, 1.719e+00, 1.758e+00, 1.522e+00
3.000e-01, 1.000e+03, 1.000e+00, 4.000e+00, 1.000e+00, 4.500e+00, 1.440e-01, 3.178e-03, 2.347e+00, 2.478e+00, 1.872e+00
4.000e-01, 1.000e+03, 1.000e+00, 4.000e+00, 1.000e+00, 4.500e+00, 2.300e-01, 3.145e-03, 3.333e+00, 3.704e+00, 2.424e+00
5.000e-01, 1.000e+03, 1.000e+00, 4.000e+00, 1.000e+00, 4.500e+00, 3.657e-01, 4.199e-03, 5.000e+00, 6.000e+00, 3.361e+00
