pf,N,m,T,sigma,cut,U_F-CS,U_RDF_CS,U_F-kolafa,U_F-thol,U_F-mecke,U_F-gottschalk,U_F-hess,U_RDF_LJ
2.500e-02,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,1.568e-02,1.568e-02,-3.809e-01,-3.867e-01,-3.842e-01,-3.838e-01,-3.853e-01,-3.853e-01
5.000e-02,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,3.346e-02,3.346e-02,-7.547e-01,-7.658e-01,-7.566e-01,-7.637e-01,-7.705e-01,-7.705e-01
7.500e-02,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,5.366e-02,5.366e-02,-1.116e+00,-1.135e+00,-1.111e+00,-1.138e+00,-1.156e+00,-1.156e+00
1.000e-01,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,7.665e-02,7.665e-02,-1.465e+00,-1.497e+00,-1.448e+00,-1.505e+00,-1.541e+00,-1.541e+00
1.500e-01,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,1.328e-01,1.328e-01,-2.127e+00,-2.401e+00,-2.098e+00,-2.212e+00,-2.311e+00,-2.311e+00
2.000e-01,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,2.065e-01,2.065e-01,-2.763e+00,-2.769e+00,-2.745e+00,-2.884e+00,-3.081e+00,-3.081e+00
2.500e-01,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,3.044e-01,3.044e-01,-3.394e+00,-3.291e+00,-3.402e+00,-3.530e+00,-3.850e+00,-3.850e+00
3.000e-01,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,4.360e-01,4.360e-01,-4.023e+00,-3.895e+00,-4.066e+00,-4.186e+00,-4.619e+00,-4.619e+00
3.500e-01,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,6.159e-01,6.159e-01,-4.624e+00,-4.519e+00,-4.718e+00,-4.911e+00,-5.388e+00,-5.388e+00
4.000e-01,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,8.668e-01,8.668e-01,-5.137e+00,-5.110e+00,-5.307e+00,-5.803e+00,-6.156e+00,-6.156e+00
4.500e-01,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,1.225e+00,1.225e+00,-5.480e+00,-5.597e+00,-5.776e+00,-6.999e+00,-6.924e+00,-6.924e+00
5.000e-01,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,1.749e+00,1.749e+00,-5.562e+00,-5.904e+00,-6.057e+00,-8.686e+00,-7.691e+00,-7.691e+00
2.500e-02,3.000e+03,1.000e+00,1.400e+00,1.000e+00,4.500e+00,1.705e-02,1.705e-02,-3.678e-01,-3.729e-01,-3.705e-01,-3.701e-01,-3.727e-01,-3.727e-01
5.000e-02,3.000e+03,1.000e+00,1.400e+00,1.000e+00,4.500e+00,3.637e-02,3.637e-02,-7.283e-01,-7.362e-01,-7.293e-01,-7.335e-01,-7.453e-01,-7.453e-01
7.500e-02,3.000e+03,1.000e+00,1.400e+00,1.000e+00,4.500e+00,5.829e-02,5.829e-02,-1.077e+00,-1.087e+00,-1.072e+00,-1.088e+00,-1.118e+00,-1.118e+00
1.000e-01,3.000e+03,1.000e+00,1.400e+00,1.000e+00,4.500e+00,8.320e-02,8.320e-02,-1.414e+00,-1.426e+00,-1.401e+00,-1.430e+00,-1.490e+00,-1.490e+00
1.500e-01,3.000e+03,1.000e+00,1.400e+00,1.000e+00,4.500e+00,1.440e-01,1.440e-01,-2.055e+00,-2.060e+00,-2.037e+00,-2.066e+00,-2.235e+00,-2.235e+00
2.000e-01,3.000e+03,1.000e+00,1.400e+00,1.000e+00,4.500e+00,2.235e-01,2.235e-01,-2.675e+00,-2.653e+00,-2.672e+00,-2.616e+00,-2.980e+00,-2.980e+00
2.500e-01,3.000e+03,1.000e+00,1.400e+00,1.000e+00,4.500e+00,3.288e-01,3.288e-01,-3.294e+00,-3.241e+00,-3.319e+00,-3.053e+00,-3.724e+00,-3.724e+00
3.000e-01,3.000e+03,1.000e+00,1.400e+00,1.000e+00,4.500e+00,4.699e-01,4.699e-01,-3.918e+00,-3.849e+00,-3.971e+00,-3.351e+00,-4.467e+00,-4.467e+00
3.500e-01,3.000e+03,1.000e+00,1.400e+00,1.000e+00,4.500e+00,6.623e-01,6.623e-01,-4.524e+00,-4.465e+00,-4.607e+00,-3.487e+00,-5.210e+00,-5.210e+00
4.000e-01,3.000e+03,1.000e+00,1.400e+00,1.000e+00,4.500e+00,9.293e-01,9.293e-01,-5.063e+00,-5.038e+00,-5.177e+00,-3.443e+00,-5.953e+00,-5.953e+00
4.500e-01,3.000e+03,1.000e+00,1.400e+00,1.000e+00,4.500e+00,1.308e+00,1.308e+00,-5.459e+00,-5.502e+00,-5.626e+00,-3.208e+00,-6.695e+00,-6.695e+00
5.000e-01,3.000e+03,1.000e+00,1.400e+00,1.000e+00,4.500e+00,1.861e+00,1.861e+00,-5.634e+00,-5.782e+00,-5.885e+00,-2.780e+00,-7.436e+00,-7.436e+00
2.500e-02,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,1.843e-02,1.843e-02,-3.567e-01,-3.616e-01,-3.592e-01,-3.589e-01,-3.621e-01,-3.621e-01
5.000e-02,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,3.928e-02,3.928e-02,-7.064e-01,-7.132e-01,-7.071e-01,-7.101e-01,-7.240e-01,-7.240e-01
7.500e-02,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,6.293e-02,6.293e-02,-1.045e+00,-1.052e+00,-1.041e+00,-1.051e+00,-1.086e+00,-1.086e+00
1.000e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,8.977e-02,8.977e-02,-1.372e+00,-1.381e+00,-1.363e+00,-1.381e+00,-1.448e+00,-1.448e+00
1.500e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,1.551e-01,1.551e-01,-1.997e+00,-2.008e+00,-1.988e+00,-1.998e+00,-2.171e+00,-2.171e+00
2.000e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,2.405e-01,2.405e-01,-2.602e+00,-2.605e+00,-2.614e+00,-2.550e+00,-2.894e+00,-2.894e+00
2.500e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,3.531e-01,3.531e-01,-3.210e+00,-3.198e+00,-3.252e+00,-3.037e+00,-3.616e+00,-3.616e+00
3.000e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,5.038e-01,5.038e-01,-3.827e+00,-3.806e+00,-3.893e+00,-3.471e+00,-4.338e+00,-4.338e+00
3.500e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,7.083e-01,7.083e-01,-4.435e+00,-4.411e+00,-4.513e+00,-3.883e+00,-5.060e+00,-5.060e+00
4.000e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,9.912e-01,9.912e-01,-4.990e+00,-4.968e+00,-5.066e+00,-4.327e+00,-5.781e+00,-5.781e+00
4.500e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,1.391e+00,1.391e+00,-5.425e+00,-5.410e+00,-5.495e+00,-4.883e+00,-6.501e+00,-6.501e+00
5.000e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,1.971e+00,1.971e+00,-5.667e+00,-5.664e+00,-5.732e+00,-5.663e+00,-7.221e+00,-7.221e+00
2.500e-02,3.000e+03,1.000e+00,1.600e+00,1.000e+00,4.500e+00,1.981e-02,1.981e-02,-3.474e-01,-3.520e-01,-3.497e-01,-3.495e-01,-3.529e-01,-3.529e-01
5.000e-02,3.000e+03,1.000e+00,1.600e+00,1.000e+00,4.500e+00,4.221e-02,4.221e-02,-6.880e-01,-6.943e-01,-6.886e-01,-6.911e-01,-7.057e-01,-7.057e-01
7.500e-02,3.000e+03,1.000e+00,1.600e+00,1.000e+00,4.500e+00,6.758e-02,6.758e-02,-1.018e+00,-1.025e+00,-1.015e+00,-1.023e+00,-1.058e+00,-1.058e+00
1.000e-01,3.000e+03,1.000e+00,1.600e+00,1.000e+00,4.500e+00,9.636e-02,9.636e-02,-1.337e+00,-1.347e+00,-1.331e+00,-1.345e+00,-1.411e+00,-1.411e+00
1.500e-01,3.000e+03,1.000e+00,1.600e+00,1.000e+00,4.500e+00,1.663e-01,1.663e-01,-1.948e+00,-1.967e+00,-1.949e+00,-1.956e+00,-2.116e+00,-2.116e+00
2.000e-01,3.000e+03,1.000e+00,1.600e+00,1.000e+00,4.500e+00,2.574e-01,2.574e-01,-2.541e+00,-2.565e+00,-2.566e+00,-2.528e+00,-2.820e+00,-2.820e+00
2.500e-01,3.000e+03,1.000e+00,1.600e+00,1.000e+00,4.500e+00,3.774e-01,3.774e-01,-3.138e+00,-3.160e+00,-3.197e+00,-3.086e+00,-3.524e+00,-3.524e+00
3.000e-01,3.000e+03,1.000e+00,1.600e+00,1.000e+00,4.500e+00,5.374e-01,5.374e-01,-3.748e+00,-3.764e+00,-3.827e+00,-3.675e+00,-4.228e+00,-4.228e+00
3.500e-01,3.000e+03,1.000e+00,1.600e+00,1.000e+00,4.500e+00,7.541e-01,7.541e-01,-4.354e+00,-4.359e+00,-4.432e+00,-4.373e+00,-4.930e+00,-4.930e+00
4.000e-01,3.000e+03,1.000e+00,1.600e+00,1.000e+00,4.500e+00,1.053e+00,1.053e+00,-4.919e+00,-4.899e+00,-4.967e+00,-5.294e+00,-5.632e+00,-5.632e+00
4.500e-01,3.000e+03,1.000e+00,1.600e+00,1.000e+00,4.500e+00,1.473e+00,1.473e+00,-5.381e+00,-5.320e+00,-5.377e+00,-6.592e+00,-6.334e+00,-6.334e+00
5.000e-01,3.000e+03,1.000e+00,1.600e+00,1.000e+00,4.500e+00,2.080e+00,2.080e+00,-5.673e+00,-5.549e+00,-5.592e+00,-8.474e+00,-7.034e+00,-7.034e+00
2.500e-02,3.000e+03,1.000e+00,1.700e+00,1.000e+00,4.500e+00,2.120e-02,2.120e-02,-3.392e-01,-3.438e-01,-3.415e-01,-3.415e-01,-3.449e-01,-3.449e-01
5.000e-02,3.000e+03,1.000e+00,1.700e+00,1.000e+00,4.500e+00,4.516e-02,4.516e-02,-6.721e-01,-6.784e-01,-6.729e-01,-6.752e-01,-6.897e-01,-6.897e-01
7.500e-02,3.000e+03,1.000e+00,1.700e+00,1.000e+00,4.500e+00,7.225e-02,7.225e-02,-9.952e-01,-1.003e+00,-9.933e-01,-1.000e+00,-1.034e+00,-1.034e+00
1.000e-01,3.000e+03,1.000e+00,1.700e+00,1.000e+00,4.500e+00,1.030e-01,1.030e-01,-1.308e+00,-1.319e+00,-1.305e+00,-1.316e+00,-1.379e+00,-1.379e+00
1.500e-01,3.000e+03,1.000e+00,1.700e+00,1.000e+00,4.500e+00,1.775e-01,1.775e-01,-1.907e+00,-1.934e+00,-1.915e+00,-1.923e+00,-2.068e+00,-2.068e+00
2.000e-01,3.000e+03,1.000e+00,1.700e+00,1.000e+00,4.500e+00,2.744e-01,2.744e-01,-2.489e+00,-2.531e+00,-2.526e+00,-2.512e+00,-2.756e+00,-2.756e+00
2.500e-01,3.000e+03,1.000e+00,1.700e+00,1.000e+00,4.500e+00,4.017e-01,4.017e-01,-3.076e+00,-3.125e+00,-3.149e+00,-3.117e+00,-3.444e+00,-3.444e+00
3.000e-01,3.000e+03,1.000e+00,1.700e+00,1.000e+00,4.500e+00,5.710e-01,5.710e-01,-3.677e+00,-3.724e+00,-3.769e+00,-3.804e+00,-4.131e+00,-4.131e+00
3.500e-01,3.000e+03,1.000e+00,1.700e+00,1.000e+00,4.500e+00,7.995e-01,7.995e-01,-4.280e+00,-4.308e+00,-4.360e+00,-4.672e+00,-4.817e+00,-4.817e+00
4.000e-01,3.000e+03,1.000e+00,1.700e+00,1.000e+00,4.500e+00,1.113e+00,1.113e+00,-4.850e+00,-4.831e+00,-4.878e+00,-5.858e+00,-5.503e+00,-5.503e+00
4.500e-01,3.000e+03,1.000e+00,1.700e+00,1.000e+00,4.500e+00,1.554e+00,1.554e+00,-5.330e+00,-5.231e+00,-5.268e+00,-7.552e+00,-6.188e+00,-6.188e+00
5.000e-01,3.000e+03,1.000e+00,1.700e+00,1.000e+00,4.500e+00,2.186e+00,2.186e+00,-5.659e+00,-5.437e+00,-5.461e+00,-9.995e+00,-6.872e+00,-6.872e+00
2.500e-02,3.000e+03,1.000e+00,1.800e+00,1.000e+00,4.500e+00,2.260e-02,2.260e-02,-3.321e-01,-3.367e-01,-3.344e-01,-3.345e-01,-3.378e-01,-3.378e-01
5.000e-02,3.000e+03,1.000e+00,1.800e+00,1.000e+00,4.500e+00,4.811e-02,4.811e-02,-6.583e-01,-6.646e-01,-6.593e-01,-6.615e-01,-6.756e-01,-6.756e-01
7.500e-02,3.000e+03,1.000e+00,1.800e+00,1.000e+00,4.500e+00,7.694e-02,7.694e-02,-9.751e-01,-9.833e-01,-9.745e-01,-9.806e-01,-1.013e+00,-1.013e+00
1.000e-01,3.000e+03,1.000e+00,1.800e+00,1.000e+00,4.500e+00,1.096e-01,1.096e-01,-1.282e+00,-1.295e+00,-1.282e+00,-1.292e+00,-1.351e+00,-1.351e+00
1.500e-01,3.000e+03,1.000e+00,1.800e+00,1.000e+00,4.500e+00,1.887e-01,1.887e-01,-1.870e+00,-1.905e+00,-1.886e+00,-1.896e+00,-2.025e+00,-2.025e+00
2.000e-01,3.000e+03,1.000e+00,1.800e+00,1.000e+00,4.500e+00,2.913e-01,2.913e-01,-2.442e+00,-2.500e+00,-2.491e+00,-2.493e+00,-2.699e+00,-2.699e+00
2.500e-01,3.000e+03,1.000e+00,1.800e+00,1.000e+00,4.500e+00,4.259e-01,4.259e-01,-3.020e+00,-3.092e+00,-3.106e+00,-3.124e+00,-3.372e+00,-3.372e+00
3.000e-01,3.000e+03,1.000e+00,1.800e+00,1.000e+00,4.500e+00,6.044e-01,6.044e-01,-3.613e+00,-3.685e+00,-3.716e+00,-3.858e+00,-4.045e+00,-4.045e+00
3.500e-01,3.000e+03,1.000e+00,1.800e+00,1.000e+00,4.500e+00,8.447e-01,8.447e-01,-4.211e+00,-4.258e+00,-4.294e+00,-4.797e+00,-4.717e+00,-4.717e+00
4.000e-01,3.000e+03,1.000e+00,1.800e+00,1.000e+00,4.500e+00,1.174e+00,1.174e+00,-4.782e+00,-4.764e+00,-4.795e+00,-6.084e+00,-5.388e+00,-5.388e+00
4.500e-01,3.000e+03,1.000e+00,1.800e+00,1.000e+00,4.500e+00,1.633e+00,1.633e+00,-5.274e+00,-5.145e+00,-5.166e+00,-7.907e+00,-6.058e+00,-6.058e+00
5.000e-01,3.000e+03,1.000e+00,1.800e+00,1.000e+00,4.500e+00,2.291e+00,2.291e+00,-5.629e+00,-5.327e+00,-5.338e+00,-1.051e+01,-6.728e+00,-6.728e+00
2.500e-02,3.000e+03,1.000e+00,1.900e+00,1.000e+00,4.500e+00,2.400e-02,2.400e-02,-3.257e-01,-3.303e-01,-3.281e-01,-3.283e-01,-3.315e-01,-3.315e-01
5.000e-02,3.000e+03,1.000e+00,1.900e+00,1.000e+00,4.500e+00,5.106e-02,5.106e-02,-6.460e-01,-6.525e-01,-6.474e-01,-6.495e-01,-6.629e-01,-6.629e-01
7.500e-02,3.000e+03,1.000e+00,1.900e+00,1.000e+00,4.500e+00,8.163e-02,8.163e-02,-9.574e-01,-9.664e-01,-9.580e-01,-9.636e-01,-9.942e-01,-9.942e-01
1.000e-01,3.000e+03,1.000e+00,1.900e+00,1.000e+00,4.500e+00,1.162e-01,1.162e-01,-1.259e+00,-1.275e+00,-1.262e+00,-1.271e+00,-1.325e+00,-1.325e+00
1.500e-01,3.000e+03,1.000e+00,1.900e+00,1.000e+00,4.500e+00,1.999e-01,1.999e-01,-1.838e+00,-1.880e+00,-1.861e+00,-1.871e+00,-1.987e+00,-1.987e+00
2.000e-01,3.000e+03,1.000e+00,1.900e+00,1.000e+00,4.500e+00,3.082e-01,3.082e-01,-2.401e+00,-2.471e+00,-2.460e+00,-2.471e+00,-2.648e+00,-2.648e+00
2.500e-01,3.000e+03,1.000e+00,1.900e+00,1.000e+00,4.500e+00,4.500e-01,4.500e-01,-2.969e+00,-3.061e+00,-3.068e+00,-3.112e+00,-3.309e+00,-3.309e+00
3.000e-01,3.000e+03,1.000e+00,1.900e+00,1.000e+00,4.500e+00,6.376e-01,6.376e-01,-3.553e+00,-3.647e+00,-3.667e+00,-3.859e+00,-3.969e+00,-3.969e+00
3.500e-01,3.000e+03,1.000e+00,1.900e+00,1.000e+00,4.500e+00,8.895e-01,8.895e-01,-4.145e+00,-4.208e+00,-4.232e+00,-4.811e+00,-4.627e+00,-4.627e+00
4.000e-01,3.000e+03,1.000e+00,1.900e+00,1.000e+00,4.500e+00,1.233e+00,1.233e+00,-4.715e+00,-4.699e+00,-4.717e+00,-6.097e+00,-5.285e+00,-5.285e+00
4.500e-01,3.000e+03,1.000e+00,1.900e+00,1.000e+00,4.500e+00,1.712e+00,1.712e+00,-5.214e+00,-5.060e+00,-5.069e+00,-7.892e+00,-5.942e+00,-5.942e+00
5.000e-01,3.000e+03,1.000e+00,1.900e+00,1.000e+00,4.500e+00,2.395e+00,2.395e+00,-5.587e+00,-5.219e+00,-5.219e+00,-1.041e+01,-6.598e+00,-6.598e+00
2.500e-02,3.000e+03,1.000e+00,2.000e+00,1.000e+00,4.500e+00,2.540e-02,2.540e-02,-3.200e-01,-3.247e-01,-3.225e-01,-3.227e-01,-3.259e-01,-3.259e-01
5.000e-02,3.000e+03,1.000e+00,2.000e+00,1.000e+00,4.500e+00,5.403e-02,5.403e-02,-6.349e-01,-6.417e-01,-6.368e-01,-6.389e-01,-6.516e-01,-6.516e-01
7.500e-02,3.000e+03,1.000e+00,2.000e+00,1.000e+00,4.500e+00,8.633e-02,8.633e-02,-9.415e-01,-9.513e-01,-9.433e-01,-9.486e-01,-9.771e-01,-9.771e-01
1.000e-01,3.000e+03,1.000e+00,2.000e+00,1.000e+00,4.500e+00,1.228e-01,1.228e-01,-1.239e+00,-1.256e+00,-1.244e+00,-1.252e+00,-1.303e+00,-1.303e+00
1.500e-01,3.000e+03,1.000e+00,2.000e+00,1.000e+00,4.500e+00,2.111e-01,2.111e-01,-1.809e+00,-1.856e+00,-1.838e+00,-1.848e+00,-1.953e+00,-1.953e+00
2.000e-01,3.000e+03,1.000e+00,2.000e+00,1.000e+00,4.500e+00,3.251e-01,3.251e-01,-2.363e+00,-2.445e+00,-2.432e+00,-2.447e+00,-2.602e+00,-2.602e+00
2.500e-01,3.000e+03,1.000e+00,2.000e+00,1.000e+00,4.500e+00,4.741e-01,4.741e-01,-2.923e+00,-3.030e+00,-3.032e+00,-3.088e+00,-3.251e+00,-3.251e+00
3.000e-01,3.000e+03,1.000e+00,2.000e+00,1.000e+00,4.500e+00,6.707e-01,6.707e-01,-3.498e+00,-3.610e+00,-3.622e+00,-3.831e+00,-3.899e+00,-3.899e+00
3.500e-01,3.000e+03,1.000e+00,2.000e+00,1.000e+00,4.500e+00,9.341e-01,9.341e-01,-4.083e+00,-4.159e+00,-4.173e+00,-4.761e+00,-4.546e+00,-4.546e+00
4.000e-01,3.000e+03,1.000e+00,2.000e+00,1.000e+00,4.500e+00,1.293e+00,1.293e+00,-4.650e+00,-4.634e+00,-4.643e+00,-5.995e+00,-5.193e+00,-5.193e+00
4.500e-01,3.000e+03,1.000e+00,2.000e+00,1.000e+00,4.500e+00,1.790e+00,1.790e+00,-5.152e+00,-4.976e+00,-4.976e+00,-7.682e+00,-5.838e+00,-5.838e+00
5.000e-01,3.000e+03,1.000e+00,2.000e+00,1.000e+00,4.500e+00,2.497e+00,2.497e+00,-5.535e+00,-5.114e+00,-5.106e+00,-1.001e+01,-6.482e+00,-6.482e+00
2.500e-02,3.000e+03,1.000e+00,2.100e+00,1.000e+00,4.500e+00,2.681e-02,2.681e-02,-3.147e-01,-3.196e-01,-3.174e-01,-3.177e-01,-3.207e-01,-3.207e-01
5.000e-02,3.000e+03,1.000e+00,2.100e+00,1.000e+00,4.500e+00,5.700e-02,5.700e-02,-6.249e-01,-6.320e-01,-6.272e-01,-6.293e-01,-6.412e-01,-6.412e-01
7.500e-02,3.000e+03,1.000e+00,2.100e+00,1.000e+00,4.500e+00,9.104e-02,9.104e-02,-9.270e-01,-9.378e-01,-9.301e-01,-9.350e-01,-9.616e-01,-9.616e-01
1.000e-01,3.000e+03,1.000e+00,2.100e+00,1.000e+00,4.500e+00,1.295e-01,1.295e-01,-1.220e+00,-1.239e+00,-1.228e+00,-1.236e+00,-1.282e+00,-1.282e+00
1.500e-01,3.000e+03,1.000e+00,2.100e+00,1.000e+00,4.500e+00,2.223e-01,2.223e-01,-1.782e+00,-1.835e+00,-1.817e+00,-1.827e+00,-1.922e+00,-1.922e+00
2.000e-01,3.000e+03,1.000e+00,2.100e+00,1.000e+00,4.500e+00,3.420e-01,3.420e-01,-2.329e+00,-2.420e+00,-2.405e+00,-2.423e+00,-2.561e+00,-2.561e+00
2.500e-01,3.000e+03,1.000e+00,2.100e+00,1.000e+00,4.500e+00,4.981e-01,4.981e-01,-2.880e+00,-3.001e+00,-2.998e+00,-3.059e+00,-3.199e+00,-3.199e+00
3.000e-01,3.000e+03,1.000e+00,2.100e+00,1.000e+00,4.500e+00,7.037e-01,7.037e-01,-3.447e+00,-3.573e+00,-3.579e+00,-3.787e+00,-3.836e+00,-3.836e+00
3.500e-01,3.000e+03,1.000e+00,2.100e+00,1.000e+00,4.500e+00,9.784e-01,9.784e-01,-4.024e+00,-4.110e+00,-4.118e+00,-4.679e+00,-4.473e+00,-4.473e+00
4.000e-01,3.000e+03,1.000e+00,2.100e+00,1.000e+00,4.500e+00,1.351e+00,1.351e+00,-4.585e+00,-4.570e+00,-4.572e+00,-5.836e+00,-5.108e+00,-5.108e+00
4.500e-01,3.000e+03,1.000e+00,2.100e+00,1.000e+00,4.500e+00,1.868e+00,1.868e+00,-5.087e+00,-4.894e+00,-4.887e+00,-7.383e+00,-5.742e+00,-5.742e+00
5.000e-01,3.000e+03,1.000e+00,2.100e+00,1.000e+00,4.500e+00,2.598e+00,2.598e+00,-5.477e+00,-5.011e+00,-4.996e+00,-9.477e+00,-6.375e+00,-6.375e+00
2.500e-02,3.000e+03,1.000e+00,2.200e+00,1.000e+00,4.500e+00,2.822e-02,2.822e-02,-3.099e-01,-3.149e-01,-3.128e-01,-3.132e-01,-3.160e-01,-3.160e-01
5.000e-02,3.000e+03,1.000e+00,2.200e+00,1.000e+00,4.500e+00,5.998e-02,5.998e-02,-6.157e-01,-6.232e-01,-6.185e-01,-6.206e-01,-6.318e-01,-6.318e-01
7.500e-02,3.000e+03,1.000e+00,2.200e+00,1.000e+00,4.500e+00,9.576e-02,9.576e-02,-9.137e-01,-9.254e-01,-9.181e-01,-9.227e-01,-9.474e-01,-9.474e-01
