pf,N,m,T,sigma,cut,U_F-CS,U_F-kolafa,U_F-thol,U_F-mecke,U_F-gottschalk,U_F-hess,U_RDF_CS,U_RDF_LJ
2.000e-02,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,1.456e-02,-2.858e-01,-2.899e-01,-2.881e-01,-2.877e-01,-2.896e-01,-2.896e-01,-2.896e-01
2.000e-02,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,2.567e-02,-2.380e-01,-2.429e-01,-2.412e-01,-2.416e-01,-2.430e-01,-2.430e-01,-2.430e-01
2.000e-02,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,3.697e-02,-2.133e-01,-2.206e-01,-2.192e-01,-2.193e-01,-2.202e-01,-2.202e-01,-2.202e-01
4.000e-02,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,3.063e-02,-5.677e-01,-5.740e-01,-5.696e-01,-5.706e-01,-5.793e-01,-5.793e-01,-5.793e-01
4.000e-02,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,5.383e-02,-4.747e-01,-4.823e-01,-4.788e-01,-4.801e-01,-4.859e-01,-4.859e-01,-4.859e-01
4.000e-02,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,7.735e-02,-4.266e-01,-4.392e-01,-4.363e-01,-4.370e-01,-4.401e-01,-4.401e-01,-4.401e-01
6.000e-02,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,4.839e-02,-8.434e-01,-8.503e-01,-8.423e-01,-8.479e-01,-8.688e-01,-8.688e-01,-8.688e-01
6.000e-02,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,8.476e-02,-7.077e-01,-7.183e-01,-7.132e-01,-7.158e-01,-7.287e-01,-7.287e-01,-7.287e-01
6.000e-02,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,1.215e-01,-6.373e-01,-6.559e-01,-6.519e-01,-6.530e-01,-6.598e-01,-6.598e-01,-6.598e-01
8.000e-02,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,6.802e-02,-1.112e+00,-1.119e+00,-1.106e+00,-1.118e+00,-1.158e+00,-1.158e+00,-1.158e+00
8.000e-02,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,1.187e-01,-9.356e-01,-9.519e-01,-9.450e-01,-9.491e-01,-9.713e-01,-9.713e-01,-9.713e-01
8.000e-02,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,1.698e-01,-8.436e-01,-8.714e-01,-8.663e-01,-8.676e-01,-8.793e-01,-8.793e-01,-8.793e-01
1.000e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,8.977e-02,-1.372e+00,-1.381e+00,-1.363e+00,-1.381e+00,-1.448e+00,-1.448e+00,-1.448e+00
1.000e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,1.561e-01,-1.158e+00,-1.184e+00,-1.175e+00,-1.180e+00,-1.214e+00,-1.214e+00,-1.214e+00
1.000e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,2.227e-01,-1.045e+00,-1.086e+00,-1.080e+00,-1.081e+00,-1.099e+00,-1.099e+00,-1.099e+00
1.200e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,1.139e-01,-1.626e+00,-1.636e+00,-1.614e+00,-1.635e+00,-1.737e+00,-1.737e+00,-1.737e+00
1.200e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,1.973e-01,-1.376e+00,-1.416e+00,-1.404e+00,-1.410e+00,-1.456e+00,-1.456e+00,-1.456e+00
1.200e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,2.807e-01,-1.241e+00,-1.300e+00,-1.292e+00,-1.293e+00,-1.318e+00,-1.318e+00,-1.318e+00
1.400e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,1.406e-01,-1.875e+00,-1.885e+00,-1.864e+00,-1.880e+00,-2.026e+00,-2.026e+00,-2.026e+00
1.400e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,2.426e-01,-1.589e+00,-1.646e+00,-1.632e+00,-1.639e+00,-1.698e+00,-1.698e+00,-1.698e+00
1.400e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,3.443e-01,-1.432e+00,-1.512e+00,-1.504e+00,-1.504e+00,-1.536e+00,-1.536e+00,-1.536e+00
1.600e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,1.704e-01,-2.119e+00,-2.129e+00,-2.113e+00,-2.114e+00,-2.316e+00,-2.316e+00,-2.316e+00
1.600e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,2.927e-01,-1.798e+00,-1.876e+00,-1.860e+00,-1.868e+00,-1.940e+00,-1.940e+00,-1.940e+00
1.600e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,4.141e-01,-1.619e+00,-1.723e+00,-1.713e+00,-1.714e+00,-1.755e+00,-1.755e+00,-1.755e+00
1.800e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,2.035e-01,-2.361e+00,-2.368e+00,-2.363e+00,-2.337e+00,-2.605e+00,-2.605e+00,-2.605e+00
1.800e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,3.481e-01,-2.005e+00,-2.103e+00,-2.087e+00,-2.098e+00,-2.182e+00,-2.182e+00,-2.182e+00
1.800e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,4.909e-01,-1.803e+00,-1.932e+00,-1.920e+00,-1.923e+00,-1.973e+00,-1.973e+00,-1.973e+00
2.000e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,2.405e-01,-2.602e+00,-2.605e+00,-2.614e+00,-2.550e+00,-2.894e+00,-2.894e+00,-2.894e+00
2.000e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,4.093e-01,-2.212e+00,-2.330e+00,-2.314e+00,-2.329e+00,-2.424e+00,-2.424e+00,-2.424e+00
2.000e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,5.755e-01,-1.984e+00,-2.138e+00,-2.124e+00,-2.130e+00,-2.191e+00,-2.191e+00,-2.191e+00
2.200e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,2.817e-01,-2.844e+00,-2.841e+00,-2.868e+00,-2.753e+00,-3.183e+00,-3.183e+00,-3.183e+00
2.200e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,4.772e-01,-2.418e+00,-2.555e+00,-2.540e+00,-2.565e+00,-2.665e+00,-2.665e+00,-2.665e+00
2.200e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,6.688e-01,-2.164e+00,-2.341e+00,-2.326e+00,-2.336e+00,-2.409e+00,-2.409e+00,-2.409e+00
2.400e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,3.279e-01,-3.088e+00,-3.079e+00,-3.124e+00,-2.945e+00,-3.472e+00,-3.472e+00,-3.472e+00
2.400e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,5.526e-01,-2.626e+00,-2.779e+00,-2.766e+00,-2.805e+00,-2.907e+00,-2.907e+00,-2.907e+00
2.400e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,7.718e-01,-2.343e+00,-2.540e+00,-2.524e+00,-2.540e+00,-2.626e+00,-2.626e+00,-2.626e+00
2.600e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,3.798e-01,-3.333e+00,-3.319e+00,-3.381e+00,-3.127e+00,-3.761e+00,-3.761e+00,-3.761e+00
2.600e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,6.365e-01,-2.836e+00,-3.001e+00,-2.990e+00,-3.052e+00,-3.148e+00,-3.148e+00,-3.148e+00
2.600e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,8.856e-01,-2.522e+00,-2.733e+00,-2.716e+00,-2.742e+00,-2.843e+00,-2.843e+00,-2.843e+00
2.800e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,4.381e-01,-3.580e+00,-3.561e+00,-3.638e+00,-3.302e+00,-4.050e+00,-4.050e+00,-4.050e+00
2.800e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,7.299e-01,-3.048e+00,-3.218e+00,-3.208e+00,-3.306e+00,-3.389e+00,-3.389e+00,-3.389e+00
2.800e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,1.012e+00,-2.702e+00,-2.919e+00,-2.901e+00,-2.940e+00,-3.060e+00,-3.060e+00,-3.060e+00
3.000e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,5.038e-01,-3.827e+00,-3.806e+00,-3.893e+00,-3.471e+00,-4.338e+00,-4.338e+00,-4.338e+00
3.000e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,8.342e-01,-3.263e+00,-3.430e+00,-3.421e+00,-3.571e+00,-3.629e+00,-3.629e+00,-3.629e+00
3.000e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,1.152e+00,-2.881e+00,-3.096e+00,-3.077e+00,-3.136e+00,-3.276e+00,-3.276e+00,-3.276e+00
3.200e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,5.780e-01,-4.073e+00,-4.050e+00,-4.146e+00,-3.636e+00,-4.627e+00,-4.627e+00,-4.627e+00
3.200e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,9.509e-01,-3.479e+00,-3.635e+00,-3.626e+00,-3.849e+00,-3.870e+00,-3.870e+00,-3.870e+00
3.200e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,1.307e+00,-3.061e+00,-3.261e+00,-3.241e+00,-3.326e+00,-3.492e+00,-3.492e+00,-3.492e+00
3.400e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,6.621e-01,-4.316e+00,-4.292e+00,-4.393e+00,-3.800e+00,-4.916e+00,-4.916e+00,-4.916e+00
3.400e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,1.082e+00,-3.697e+00,-3.829e+00,-3.820e+00,-4.141e+00,-4.110e+00,-4.110e+00,-4.110e+00
3.400e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,1.480e+00,-3.239e+00,-3.413e+00,-3.391e+00,-3.511e+00,-3.708e+00,-3.708e+00,-3.708e+00
3.600e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,7.577e-01,-4.552e+00,-4.529e+00,-4.631e+00,-3.967e+00,-5.204e+00,-5.204e+00,-5.204e+00
3.600e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,1.229e+00,-3.913e+00,-4.011e+00,-4.001e+00,-4.450e+00,-4.350e+00,-4.350e+00,-4.350e+00
3.600e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,1.674e+00,-3.416e+00,-3.548e+00,-3.524e+00,-3.690e+00,-3.924e+00,-3.924e+00,-3.924e+00
3.800e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,8.666e-01,-4.778e+00,-4.755e+00,-4.856e+00,-4.141e+00,-5.493e+00,-5.493e+00,-5.493e+00
3.800e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,1.395e+00,-4.127e+00,-4.177e+00,-4.164e+00,-4.780e+00,-4.590e+00,-4.590e+00,-4.590e+00
3.800e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,1.890e+00,-3.588e+00,-3.663e+00,-3.637e+00,-3.860e+00,-4.139e+00,-4.139e+00,-4.139e+00
4.000e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,9.912e-01,-4.990e+00,-4.968e+00,-5.066e+00,-4.327e+00,-5.781e+00,-5.781e+00,-5.781e+00
4.000e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,1.582e+00,-4.335e+00,-4.324e+00,-4.308e+00,-5.133e+00,-4.830e+00,-4.830e+00,-4.830e+00
4.000e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,2.133e+00,-3.754e+00,-3.755e+00,-3.726e+00,-4.020e+00,-4.354e+00,-4.354e+00,-4.354e+00
4.200e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,1.134e+00,-5.182e+00,-5.162e+00,-5.255e+00,-4.530e+00,-6.069e+00,-6.069e+00,-6.069e+00
4.200e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,1.795e+00,-4.536e+00,-4.447e+00,-4.428e+00,-5.512e+00,-5.069e+00,-5.069e+00,-5.069e+00
4.200e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,2.405e+00,-3.911e+00,-3.820e+00,-3.787e+00,-4.168e+00,-4.568e+00,-4.568e+00,-4.568e+00
4.400e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,1.299e+00,-5.351e+00,-5.334e+00,-5.422e+00,-4.758e+00,-6.357e+00,-6.357e+00,-6.357e+00
4.400e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,2.036e+00,-4.726e+00,-4.543e+00,-4.520e+00,-5.921e+00,-5.309e+00,-5.309e+00,-5.309e+00
4.400e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,2.713e+00,-4.057e+00,-3.853e+00,-3.816e+00,-4.303e+00,-4.782e+00,-4.782e+00,-4.782e+00
4.600e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,1.490e+00,-5.491e+00,-5.478e+00,-5.560e+00,-5.017e+00,-6.645e+00,-6.645e+00,-6.645e+00
4.600e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,2.312e+00,-4.902e+00,-4.606e+00,-4.580e+00,-6.363e+00,-5.547e+00,-5.547e+00,-5.547e+00
4.600e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,3.060e+00,-4.189e+00,-3.850e+00,-3.809e+00,-4.421e+00,-4.996e+00,-4.996e+00,-4.996e+00
4.800e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,1.712e+00,-5.598e+00,-5.590e+00,-5.666e+00,-5.316e+00,-6.933e+00,-6.933e+00,-6.933e+00
4.800e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,2.627e+00,-5.061e+00,-4.631e+00,-4.603e+00,-6.843e+00,-5.786e+00,-5.786e+00,-5.786e+00
4.800e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,3.454e+00,-4.303e+00,-3.805e+00,-3.761e+00,-4.521e+00,-5.209e+00,-5.209e+00,-5.209e+00
5.000e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,1.971e+00,-5.667e+00,-5.664e+00,-5.732e+00,-5.663e+00,-7.221e+00,-7.221e+00,-7.221e+00
5.000e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,2.990e+00,-5.200e+00,-4.615e+00,-4.583e+00,-7.364e+00,-6.025e+00,-6.025e+00,-6.025e+00
5.000e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,3.902e+00,-4.398e+00,-3.715e+00,-3.666e+00,-4.599e+00,-5.422e+00,-5.422e+00,-5.422e+00
